match_id,competition_id,home_team_id,home_team,away_team_id,away_team
759a6834,814f16bc,fb93c02e,Manawatu,ea0e6b6c,Hawke's Bay
0381b537,30e7e1ca,24c0c93d,Argentina,136b7e4a,Australia
2ffb70f8,30e7e1ca,7cbb3319,Canada,93b14fff,Usa
57123718,679f8455,9b438d28,Canterbury,efc79707,Wellington
84f70a42,c2f89f12,59830ed0,Pumas,0361ebea,Western Province
0381b537,50e6935b,24c0c93d,Argentina,136b7e4a,Australia
2ffb70f8,bc5d9ec5,7cbb3319,Canada,93b14fff,Usa
58090e69,814f16bc,140c0f3f,Otago,efc79707,Wellington
486214b8,83d92007,1cbf55bf,Lyon,30ad8a8a,Toulon
e99808b8,bc5d9ec5,93b14fff,Crusaders,b6b6eba1,Queensland Reds
d28cd3a4,bc5d9ec5,b8b8b698,Fijian Drua,08a046f2,Chiefs
412ab7bc,0ab9177f,f7e65630,Seattle Seawolves,6fd831fc,Houston SaberCats
dd23fd6f,2f0de05a,388e620c,Clermont Auvergne,2e49b214,Racing 92
e11d24d8,2f0de05a,a9650c97,Castres Olympique,0120f1b3,Perpignan
aa5aa16a,2f0de05a,1cbf55bf,Lyon,fe2eda63,Bayonne
dbf27ac7,2f0de05a,30ad8a8a,Toulon,f7e939a6,Bordeaux Begles
17701dd8,2f0de05a,73e02b8e,Pau,b6f40da2,Montpellier Herault
b10359df,2f0de05a,9aa9df8a,La Rochelle,247cd1a2,Stade Francais Paris
99688805,2f0de05a,94b39f65,Stade Toulousain,d5468acc,Brive
0d604517,2f0de05a,d5468acc,Brive,94b39f65,Toulouse
7596eb3a,0fad1a69,4c00b4cc,Bristol Bears Women,03bffa94,Saracens Women
b22dfad3,2c3df351,566d5199,Harlequins,08a046f2,Exeter Chiefs
fae46a03,50e6935b,1b71011b,Bulls,0e10c257,Scarlets
a8f85872,50e6935b,6f08f859,Glasgow Warriors,1ebc0e7a,Leinster
195b928d,2c3df351,8239a311,London Irish,0026b492,Saracens
fff34c68,2c3df351,93542906,Newcastle Falcons,d7d74d92,Sale Sharks
fd66630f,50e6935b,1b2d3d61,Sharks,bb49fc47,Lions
19d121b0,50e6935b,f54be954,Stormers,1b71011b,Bulls
bfe7d70c,50e6935b,6f5af01b,Connacht,0aa2b3cc,Ulster
ce8450ef,50e6935b,6f08f859,Glasgow Warriors,242b5b2e,Edinburgh
b0319cf5,2f0de05a,d5468acc,Brive,388e620c,Clermont Auvergne
75ec5647,2f0de05a,b6f40da2,Montpellier Herault,0120f1b3,Perpignan
799c1a2a,2f0de05a,73e02b8e,Pau,fe2eda63,Bayonne
0b232ab7,2f0de05a,9aa9df8a,La Rochelle,f7e939a6,Bordeaux Begles
22977474,2f0de05a,94b39f65,Stade Toulousain,a9650c97,Castres Olympique
15ec8b34,2f0de05a,a9650c97,Castres,94b39f65,Toulouse
f9871df9,467a422f,66f91b55,Italy,29c8e3d4,France
4501222b,2f0de05a,247cd1a2,Stade Francais Paris,f7e939a6,Bordeaux Begles
c21d73b3,d7c59c8c,d7b21cfb,Kobelco Kobe Steelers,87130580,Mitsubishi Sagamihara Dynaboars
ed439a5c,d7c59c8c,0d890d19,Tokyo Sungoliath,2e7192a3,Toshiba Brave Lupus Tokyo
bf899af6,d7c59c8c,431c8b4c,Green Rockets Tokatsu,252fd636,Saitama Wild Knights
3802cc01,d7c59c8c,a42a1bd6,Hanazono Kintetsu Liners,5a371639,Shizuoka Bluerevs
30792002,2f0de05a,94b39f65,Stade Toulousain,247cd1a2,Stade Francais Paris
f4406b0b,2f0de05a,247cd1a2,Stade Francais,94b39f65,Toulouse
edc55c17,0fad1a69,588a69a0,Gloucester Hartpury Women Rfc,1f52254f,Loughborough Lightning
0d7e1368,2c3df351,93542906,Newcastle Falcons,08a046f2,Exeter Chiefs
a96b181b,2c3df351,895ae027,Northampton Saints,d7d74d92,Sale Sharks
464e8fd5,50e6935b,0e10c257,Scarlets,1b71011b,Bulls
957efd5f,50e6935b,0aa2b3cc,Ulster,5fa975a5,Ospreys
1348743f,814f16bc,d990d095,Bay of Plenty,9b438d28,Canterbury
c0b74b87,822142db,a9955246,Colomiers,af22c862,Soyaux Angouleme
3d2ea665,822142db,deee3415,Beziers,ebeace3a,Grenoble
0f551161,822142db,870e9fb0,Aurillac,6038c3ba,Nice
bf7e029f,822142db,6de7a527,Mont De Marsan,8b15a375,Uso Nevers
08a859a1,822142db,6992ab09,Dax,53983719,Oyonnax
87f867c7,822142db,677fece4,Us Montauban,791d6c23,Valence Romans
0fcba495,822142db,2bac4677,Agen,98fce2f7,Biarritz
0d9823b8,50e6935b,79c81be4,Cardiff Blues,0e10c257,Scarlets
21467a73,0fad1a69,59c67efa,Gloucester,1ebc0e7a,Leicester
b8483d89,50e6935b,1ebc0e7a,Leinster,0aa2b3cc,Ulster
b297acaf,822142db,6992ab09,Dax,ebeace3a,Grenoble
3022fbc7,822142db,a9955246,Colomiers,791d6c23,Valence Romans
8ec6bbd4,822142db,2bac4677,Agen,870e9fb0,Aurillac
3ea8fe65,822142db,6de7a527,Mont De Marsan,4f43e2ca,Provence Rugby
757836f4,822142db,d5468acc,Brive,8b15a375,Uso Nevers
3839a834,822142db,93d1e116,Carcassonne,af22c862,Soyaux Angouleme
eab230c1,822142db,98fce2f7,Biarritz,53983719,Oyonnax
